FACILITY,ADDRESS,LAST INSPECTED,VIOLATIONS,TOTAL # CRITICAL VIOLATIONS,TOTAL #CRIT.  NOT CORRECTED ,TOTAL # NONCRITICAL VIOLATIONS,DESCRIPTION, LOCAL HEALTH DEPARTMENT,COUNTY,FACILITY ADDRESS,CITY,ZIP CODE,NYSDOH GAZETTEER (1980),MUNICIPALITY,OPERATION NAME,PERMIT EXPIRATION DATE,PERMITTED  (D/B/A),PERMITTED  CORP. NAME,PERM. OPERATOR LAST NAME,PERM. OPERATOR FIRST NAME,NYS HEALTH OPERATION ID,INSPECTION TYPE,INSPECTOR ID,INSPECTION COMMENTS,FOOD SERVICE FACILITY STATE,Location1
Syracuse Elks Lodge #1104           ,"3815  SOUTH Salina  STREET,  Syracuse",11/12/2015,Item  8E-   Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures; ,0,0,1,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,3815  SOUTH Salina  STREET,Syracuse,13205    ,330100,SYRACUSE,Syracuse Elks Lodge #1104,01/31/2017,,"IBPOE of World Elks Lodge 1104, Inc.",Tyson,Eddie,540598,Inspection,,**Notes:  Ensure sanitary gloves used when scooping ice with metal ice scoop lacking hand guard at ice machine.  Ensure probe/metal-stem type thermometer available at all times during operation.,NY,"(43.011423, -76.141958)"
George O'Deas Pub                   ,"1333 WEST Fayette STREET,  Syracuse",01/13/2016,No violations found.,0,0,0,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,1333 WEST Fayette STREET,Syracuse,13204    ,330100,SYRACUSE,George O'Deas Pub,01/31/2017,,"Roeco, Inc.",Roesch,Nora,294715,Re-Inspection,,Reinspection found violations have been corrected.  Sink noted with adequate hot and cold running water at this time.  Abate violation notice.  Also discussed lacking adequate insurance forms for permit renewal.,NY,"(43.047631, -76.177939)"
Seniora Pizzeria and Deli           ,"6325 Thompson ROAD,  Syracuse",08/17/2015,"Item  4A-  Critical Violation [RED] Toxic chemicals are improperly labeled, stored or used so that contamination of food can occur.; Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); ",1,0,2,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,6325 Thompson ROAD,Syracuse,13206    ,335300,DEWITT,Seniora Pizzeria and Deli,01/31/2017,,,Wady,Mike,294284,Inspection,,Prep cooler door gaskets on order.,NY,"(43.076744, -76.089208)"
SU Schine Dining                    ,"303 University PLACE,  Syracuse",02/25/2015,"Item  1D-  Critical Violation [RED] Canned foods found in poor conditions (leakers, severe dents, rusty, swollen cans); Item  8B-   In use food dispensing utensils improperly stored; Item 11A-   Manual facilities inadequate, technique incorrect; mechanical facilities not operated in accordance with manufacturer's instructions; Item 11D-   Non food contact surfaces of equipment not clean; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans; ",1,0,6,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,303 University PLACE,Syracuse,13244    ,330100,SYRACUSE,SU Schine Dining,01/31/2017,,Syracuse University,Gallipeau,Jean,293024,Inspection,,,NY,"(43.039445, -76.134247)"
Ballybay Bar (The)                  ,"550-552 Richmond AVENUE,  Syracuse",09/18/2015,"Item  4A-  Critical Violation [RED] Toxic chemicals are improperly labeled, stored or used so that contamination of food can occur.; Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; ",1,0,7,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,550-552 Richmond AVENUE,Syracuse,13204    ,330100,SYRACUSE,Ballybay Bar (The),01/31/2017,,"The Ballybay Bar, Inc.",Sullivan,Ann,294113,Inspection,,**Note:  Establishment has a low-temp (120F) dish machine with chemical sanitizer.  Establishment has probe/metal-stem type thermometer.,NY,"(43.050307, -76.175348)"
Dunkin Donuts                       ,"4886 WEST Seneca TURNPIKE,  Syracuse",10/05/2015,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item  8B-   In use food dispensing utensils improperly stored; Item  8D-   Single service items reused, improperly stored, dispensed, not used when required; Item 11A-   Manual facilities inadequate, technique incorrect; mechanical facilities not operated in accordance with manufacturer's instructions; Item 11D-   Non food contact surfaces of equipment not clean; Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; Item 13B-   Garbage storage areas not properly constructed or maintained, creating a nuisance; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",0,0,10,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,4886 WEST Seneca TURNPIKE,Syracuse,13215    ,336100,ONONDAGA,Dunkin Donuts,01/31/2017,,"Ian Donuts, LLC",Cafua,David,539479,Inspection,,,NY,"(43.005569, -76.177959)"
Bellevue Country Club               ,"1901 Glenwood AVENUE,  Syracuse",06/18/2015,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; Item 11D-   Non food contact surfaces of equipment not clean; ",0,0,7,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,1901 Glenwood AVENUE,Syracuse,13207    ,330100,SYRACUSE,Bellevue Country Club,01/31/2017,,"Bellevue Country Club, Inc.",Blair,Bradley,292599,Inspection,,Establishment has probe/metal-stem type thermometer at main kitchen and both out buildings.,NY,"(43.027793, -76.190281)"
Stefons Place                       ,"713 EAST Genesee  STREET,  Syracuse",10/14/2015,No violations found.,0,0,0,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,713 EAST Genesee  STREET,Syracuse,13210    ,330100,SYRACUSE,Stefons Place,01/31/2017,,"Genesee Inn Restaurant, Inc.",Kelsey,Rob,539828,Inspection,,Conditions are satisfactory at this time.,NY,"(43.047423, -76.141165)"
Salvation Army (The)                ,"749 SOUTH Warren STREET,  Syracuse",12/29/2015,"Item  8D-   Single service items reused, improperly stored, dispensed, not used when required; Item  9B-   Tobacco is used; eating, drinking in food preparation, dishwashing food storage areas; ",0,0,2,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,749 SOUTH Warren STREET,Syracuse,13202    ,330100,SYRACUSE,Salvation Army (The),01/31/2017,,The Salvation Army,Wright,Linda,437126,Inspection,,Second Inpection,NY,"(43.04217, -76.150802)"
Huntington Family Centers           ,"405 Gifford STREET,  Syracuse",06/23/2015,No violations found.,0,0,0,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,405 Gifford STREET,Syracuse,13204    ,330100,SYRACUSE,Huntington Family Centers,01/31/2017,,"Huntington Family Centers, Inc.",Sayles,Mary Lou,293297,Inspection,,Conditions satisfactory at this time,NY,"(43.043269, -76.160691)"
Chipotle Mexican Grill              ,"3496 Erie Boulevard East,  Syracuse",10/22/2015,No violations found.,0,0,0,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,3496 Erie Boulevard East  ,Syracuse,13214    ,330100,SYRACUSE,Chipotle Mexican Grill,01/31/2017,,"Chipotle Mexican Grill of Colorado, LLC",Coletti,David,750110,Inspection,,Conditions satisfactory at this time.,NY,"(43.042759, -76.067994)"
Food Bank of CNY - Demo Kitchen     ,"7066 Interstate Island ROAD,  Syracuse",06/30/2015,Item  2C-  Critical Violation [RED] Cooked or prepared foods are subject to cross-contamination from raw foods.; ,1,0,0,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,7066 Interstate Island ROAD,Syracuse,13209    ,336800,VAN BUREN,Food Bank of CNY - Demo Kitchen,01/31/2017,,Food Bank of Central New York,Hudson,Heather,784920,Inspection,,,NY,"(43.11051, -76.277366)"
Burger King Restaurant #296         ,"6300 Thompson ROAD,  Syracuse",05/20/2015,No violations found.,0,0,0,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,6300 Thompson ROAD,Syracuse,13206    ,335300,DEWITT,Burger King Restaurant #296,01/31/2017,,Carrols Corporation,Flanders,Paul,292735,Re-Inspection,,,NY,"(43.076459, -76.088899)"
Murrays (The)                       ,"2722 Burnet AVENUE,  Syracuse",07/02/2015,"Item 11D-   Non food contact surfaces of equipment not clean; Item 14A-   Insects, rodents present; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",0,0,3,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,2722 Burnet AVENUE,Syracuse,13206    ,330100,SYRACUSE,Murrays (The),01/31/2017,,,Murray,Barbara,292555,Inspection,,Copy of last professional pest control service report to be faxed or emailed to Health Department. Email to kimmoran@ongov.net,NY,"(43.059654, -76.098993)"
SU - SSIC Syr Community Test Kitchen,"2610 SOUTH Salina STREET,  Syracuse",04/05/2016,No violations found.,0,0,0,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,2610 SOUTH Salina STREET,Syracuse,13205    ,330100,SYRACUSE,SU - SSIC Syracuse Community Test Kitchen,01/31/2017,,Syracuse University,Brennan,Samantha,651035,Inspection,,"No hazards/no violations found at this time.  Probe/metal-stem type thermometer onsite as required.:

Add to ehips: sbrennan@syr.edu",NY,"(43.022159, -76.143761)"
Frazer K-8 School                   ,"741 PARK AVENUE,  SYRACUSE",07/07/2015,Item  6A-  Critical Violation [RED] Potentially hazardous foods are not kept at or above 140oF during hot holding.; ,1,0,0,SED Summer Feeding Prog. - SED Satellite Feeding Site,Onondaga County,ONONDAGA,741 PARK AVENUE,SYRACUSE,13204    ,330100,SYRACUSE,Frazer K-8 School,07/31/2015,,Syracuse City School Distrist,Marchbanks,Annette,430674,Inspection,,,NY,"(43.051981, -76.173101)"
Uno Chicago Grill                   ,"9558 Carousel Center,  Syracuse",07/09/2015,"Item  1H-  Critical Violation [RED] Food from unapproved source, spoiled, adulterated on premises.; Item  5B-  Critical Violation [RED] Potentially hazardous foods are not cooled by an approved method where the food temperature can be reduced from 120oF to 70oF or less within two hours and 70oF to 45oF within four hours.; Item  8B-   In use food dispensing utensils improperly stored; ",3,0,1,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,9558 Carousel Center  ,Syracuse,13290    ,330100,SYRACUSE,Uno Chicago Grill,01/31/2017,,"Pizzeria Uno of Syracuse, Inc.",Prestella,Lisa,293283,Inspection,,,NY,"(43.070179, -76.169717)"
Aramark at Onon. County Justice Ctr.,"555 SOUTH State STREET,  Syracuse",12/09/2015,"Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans; ",0,0,5,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,555 SOUTH State STREET,Syracuse,13202    ,330100,SYRACUSE,Aramark at Onondaga County Justice Center,01/31/2017,,"Aramark Correctional Services, LLC",Smith,Barbara,760446,Inspection,,,NY,"(43.046546, -76.147411)"
"Bi-Won, The Secret Garden           ","2731 Erie Boulevard East,  Syracuse",09/02/2015,"Item  2C-  Critical Violation [RED] Cooked or prepared foods are subject to cross-contamination from raw foods.; Item 10A-   Food (ice) contact surfaces are improperly designed, constructed, installed, located (cracks, open seams, pitted surfaces, tin cans reused, uncleanable or corroded food contact surfaces); Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; ",1,0,3,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,2731 Erie Boulevard East  ,Syracuse,13224    ,330100,SYRACUSE,"Bi-Won, The Secret Garden",01/31/2017,,"Hans Music City, Inc.",Han,Hyo Soo,294540,Re-Inspection,,Reinspection this date for violations cited during a routine inspection on 08/18/15. The majority of violations have been corrected at this time. A stipulation agreement offered for a reduced fine can be accepted at this time.,NY,"(43.054772, -76.096288)"
Wilson Park                         ,"519 EAST TAYLOR STREET,  SYRACUSE",08/20/2015,No violations found.,0,0,0,SED Summer Feeding Prog. - SED Satellite Feeding Site,Onondaga County,ONONDAGA,519 EAST TAYLOR STREET,SYRACUSE,13205    ,330100,SYRACUSE,WILSON PARK,08/21/2015,,Syracuse City School Distrist,Marchbanks,Annette,467378,Re-Inspection,,,NY,"(43.039508, -76.143543)"
"Taste of Philadelphia, A","2533 James STREET,  Syracuse",12/15/2015,Item 11D-   Non food contact surfaces of equipment not clean; ,0,0,1,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,2533 James STREET,Syracuse,13206    ,330100,SYRACUSE,A Taste of Philadelphia,01/31/2017,,"A Taste of Philadelphia, Inc.",Carni,Nancy,535611,Re-Inspection,,Reinspection this date for violations cited during an inspection on 11/25/15. The majority of violations have been corrected at this time. Recommend abatement.,NY,"(43.068668, -76.111086)"
May Memorial Unitarian Universalist ,"3800 EAST Genesee STREET,  Syracuse",04/13/2016,Item  8E-   Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures; ,0,0,1,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,3800 EAST Genesee STREET,Syracuse,13214    ,330100,SYRACUSE,May Memorial Unitarian Universalist Society,01/31/2017,,May Memorial Unitarian ,,,294416,Inspection,,,NY,"(43.04028, -76.082386)"
University Christian Fellowship     ,"512  Westcott  STREET,  Syracuse",12/22/2015,No violations found.,0,0,0,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,512  Westcott  STREET,Syracuse,13210    ,330100,SYRACUSE,University Christian Fellowship,01/31/2017,,University Christian Fellowship,,,738429,Inspection,,Appears satisfactory at this time.,NY,"(43.041227, -76.11939)"
Erawan Thai Restaurant              ,"2724 Erie Boulevard East,  Syracuse",04/18/2016,"Item 11B-   Wiping cloths dirty, not stored properly in sanitizing solutions; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; Item 15C-   Premises littered, unnecessary equipment and article present, living quarters no completely separated for food service operations, live animals, birds and pets not excluded; ",0,0,3,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,2724 Erie Boulevard East  ,Syracuse,13224    ,330100,SYRACUSE,Erawan Thai Restaurant,01/31/2017,,"Chanthasensack & Saybanha, Inc",Saybanha,Pamela,293391,Inspection,,"Female employee noted prepping cilantro with bare hands, cilantro to be used as a garnish on top of soup.  Recommend that gloves be worn when prepping the cilantro for soup as the final temperature of the cilantro is unknown and could vary from soup to soup.  Employee put gloves on to finish prepping the remainder of the cilantro and the already prepped cilantro will be used for cooking.",NY,"(43.054351, -76.096421)"
PEACE/Westside Family Resource      ,"200 WYOMING STREET,  SYRACUSE",08/04/2015,No violations found.,0,0,0,SED Summer Feeding Prog. - SED Satellite Feeding Site,Onondaga County,ONONDAGA,200 WYOMING STREET,SYRACUSE,315470332,330100,SYRACUSE,PEACE/Westside Family Resource/Inactive,08/14/2015,,Food Bank of Central New York,Hudson,Heather,546581,Inspection,,,NY,"(43.047233, -76.160441)"
SU Ernie Davis Dining Center        ,"619 Comstock AVENUE,  Syracuse",08/27/2015,"Item  4A-  Critical Violation [RED] Toxic chemicals are improperly labeled, stored or used so that contamination of food can occur.; Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item  8B-   In use food dispensing utensils improperly stored; Item 11A-   Manual facilities inadequate, technique incorrect; mechanical facilities not operated in accordance with manufacturer's instructions; Item 11D-   Non food contact surfaces of equipment not clean; Item 14A-   Insects, rodents present; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans; ",1,0,7,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,619 Comstock AVENUE,Syracuse,13244    ,330100,SYRACUSE,SU Ernie Davis Dining Center,01/31/2017,,Syracuse University,Gallipeau,Jean,722351,Inspection,,,NY,"(43.040225, -76.130075)"
SU Carrier Dome Vending #267D       ,"900 Irving  AVENUE,  Syracuse",09/12/2015,No violations found.,0,0,0,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,900 Irving  AVENUE,Syracuse,13244    ,330100,SYRACUSE,SU Carrier Dome Vending #267D,01/31/2017,,Syracuse University Food Services,Gallipeau,Jean,293001,Inspection,,,NY,"(43.037568, -76.13832)"
All Saints Elementary School of Tipp,"112 SOUTH WILBUR STREET,  SYRACUSE",12/21/2015,No violations found.,0,0,0,Institutional Food Service - School K-12 Food Service,Onondaga County,ONONDAGA,112 SOUTH WILBUR STREET,SYRACUSE,13204    ,330100,SYRACUSE,All Saints Elementary School of Tipp,12/31/2017,,All Saints Elementary School of Tipperary Hill,,,588718,Re-Inspection,,"Field visit conducted on this date to check previous inspection from 12/3/15.  Reinspection notes that food items are not arriving to facility at proper temperatures, therefore the food is being re-heated in the oven prior to serving.  Bean soup noted at 124F upon arrival, employee had oven pre-heated and transferred food directly once on site.  Abate violations.",NY,"(43.048431, -76.179982)"
McDonalds of Dewitt/Paul M. Ross Ice,"6031 Tarbell ROAD,  Syracuse",05/02/2016,No violations found.,0,0,0,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,6031 Tarbell ROAD,Syracuse,13206    ,335300,DEWITT,McDonalds of Dewitt/Paul M. Ross Ice Cream #2,01/31/2017,,"Big Red Shoes, LLC",Ross,Paul,294307,Inspection,,Conditions satisfactory at this time.,NY,"(43.090223, -76.101397)"
Subway                              ,"105 EAST Seneca TURNPIKE,  Syracuse",05/04/2016,"Item  8E-   Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures; Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; Item 11D-   Non food contact surfaces of equipment not clean; Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans; ",0,0,9,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,105 EAST Seneca TURNPIKE,Syracuse,13205    ,330100,SYRACUSE,Subway,01/31/2017,,Tal-A-Action Corporation,Taladay,Tim,293398,Inspection,,,NY,"(43.000634, -76.141487)"
Solvay Fire Department              ,"1925  Milton AVENUE,  Syracuse",05/06/2016,No violations found.,0,0,0,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,1925  Milton AVENUE,Syracuse,13209    ,335600,GEDDES,Solvay Fire Department,01/31/2017,,"Solvay Fire Department, Inc.",,,541923,Inspection,,"No violations/hazards noted at this time.  Ensure that probe/metal-stem type thermometer available and properly used during all events where food is served to public.

Add email to ehips.",NY,"(43.062059, -76.209117)"
Nestico's Too                       ,"4105 1/2 WEST Genesee STREET,  Syracuse",05/06/2016,No violations found.,0,0,0,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,4105 1/2 WEST Genesee STREET,Syracuse,13219    ,335000,CAMILLUS,Nestico's Too,01/31/2017,,"C.M.D. Richardson, Inc.",Richardson,Martita,590727,Re-Inspection,,Reinspection noted that ceiling in dining area is no longer leaking.  Complaint resolved.,NY,"(43.04597, -76.242789)"
Loyal Order of Moose                ,"1121 Milton AVENUE,  Syracuse",11/06/2015,"Item  8E-   Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures; Item 11D-   Non food contact surfaces of equipment not clean; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans; ",0,0,6,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,1121 Milton AVENUE,Syracuse,13204    ,330100,SYRACUSE,Loyal Order of Moose,01/31/2017,,Loyal Order of Moose,Farrance,Chris,292627,Inspection,,,NY,"(43.058269, -76.194752)"
Roberts Elementary School           ,"715 GLENWOOD AVENUE,  SYRACUSE",05/12/2016,No violations found.,0,0,0,Institutional Food Service - School K-12 Food Service,Onondaga County,ONONDAGA,715 GLENWOOD AVENUE,SYRACUSE,13207    ,330100,SYRACUSE,Roberts Elementary School,12/31/2016,,Syracuse City School District,Warner,Ken,466942,Inspection,,,NY,"(43.01957, -76.170779)"
Kirby's Grill                       ,"2212 WEST Genesee STREET,  Syracuse",05/11/2016,"Item  6A-  Critical Violation [RED] Potentially hazardous foods are not kept at or above 140oF during hot holding.; Item  8E-   Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures; Item 10A-   Food (ice) contact surfaces are improperly designed, constructed, installed, located (cracks, open seams, pitted surfaces, tin cans reused, uncleanable or corroded food contact surfaces); Item 11A-   Manual facilities inadequate, technique incorrect; mechanical facilities not operated in accordance with manufacturer's instructions; Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; Item 11D-   Non food contact surfaces of equipment not clean; Item 13B-   Garbage storage areas not properly constructed or maintained, creating a nuisance; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",1,0,13,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,2212 WEST Genesee STREET,Syracuse,13219    ,335600,GEDDES,Kirby's Grill,01/31/2017,,"Kirby's Grill, Inc.",Allen,Lori,293553,Inspection,,,NY,"(43.047548, -76.198262)"
PEACE Sr. Nutr. @ Eastside Sr. Citiz,"202-204 SOUTH Beech STREET,  Syracuse",11/13/2015,No violations found.,0,0,0,SOFA Food Service - SOFA Satellite Site -State Office for the Aging,Onondaga County,ONONDAGA,202-204 SOUTH Beech STREET,Syracuse,13210    ,330100,SYRACUSE,"PEACE, Inc Sr. Nutrition @ Eastside Sr Citizen Ctr",01/31/2017,,"P.E.A.C.E., Inc. Senior Nutrition Program",O'Hara,Joseph,437042,Inspection,,At this time conditions satisfactory to operate.,NY,"(43.049092, -76.127727)"
McDonalds of Western Lights         ,"4733 Onondaga BOULEVARD,  Syracuse",05/16/2016,No violations found.,0,0,0,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,4733 Onondaga BOULEVARD,Syracuse,13219    ,335600,GEDDES,McDonalds of Western Lights,01/31/2017,,"Col-Jac, LLC",McLaughlin,Michael,294037,Re-Inspection,,Reinspection found violations have been corrected at this time.  No further action taken.,NY,"(43.032775, -76.19254)"
DR's Tavern                         ,"1417 WEST Genesee STREET,  Syracuse",06/10/2015,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); ",0,0,1,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,1417 WEST Genesee STREET,Syracuse,13204    ,330100,SYRACUSE,DR's Tavern,01/31/2017,,"Six Strings, Inc.",Schmidt,Donald,749726,Inspection,,**Note: Operator not able to provide email address at this time.,NY,"(43.052191, -76.181461)"
Newfy's Tavern                      ,"552 Hickok AVENUE,  Syracuse",03/31/2016,"Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; Item 11D-   Non food contact surfaces of equipment not clean; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",0,0,5,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,552 Hickok AVENUE,Syracuse,13206    ,330100,SYRACUSE,Newfy's Tavern,01/31/2017,,"Newfy's Tavern, Inc.",Barkins,Michelle,696185,Inspection,,,NY,"(43.057475, -76.113176)"
"Peace, Love and Ice Cream           ","1400 Burnet AVENUE,  Syracuse",06/01/2016,"Item  8B-   In use food dispensing utensils improperly stored; Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; Item 11D-   Non food contact surfaces of equipment not clean; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",0,0,5,Food Service Establishment - Ice Cream Store,Onondaga County,ONONDAGA,1400 Burnet AVENUE,Syracuse,13206    ,330100,SYRACUSE,"Peace, Love and Ice Cream",01/31/2017,,,Leonardo,Harry,728988,Inspection,,,NY,"(43.054932, -76.119262)"
China House                         ,"600 SOUTH Geddes STREET,  Syracuse",04/19/2016,No violations found.,0,0,0,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,600 SOUTH Geddes STREET,Syracuse,13204    ,330100,SYRACUSE,China House,01/31/2017,,,Chen,Zhao Yun,539134,Inspection,,No hazards/ violations found.  Establishment noted acceptable at this time.,NY,"(43.041854, -76.171735)"
La Roasteria                        ,"3501 James STREET,  Syracuse",06/23/2015,"Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 11D-   Non food contact surfaces of equipment not clean; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",0,0,4,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,3501 James STREET,Syracuse,13207    ,330100,SYRACUSE,La Roasteria,01/31/2017,,"La Roasteria, Inc.",Godard,Matthew,560789,Inspection,,,NY,"(43.069269, -76.09847)"
Boys and Girls Club of Syracuse     ,"201 SHONNARD STREET,  SYRACUSE",08/02/2013,Item  5C-  Critical Violation [RED] Potentially hazardous foods are not stored under refrigeration except during necessary preparation or approved precooling procedures (room temperature storage).; Item  6A-  Critical Violation [RED] Potentially hazardous foods are not kept at or above 140oF during hot holding.; ,2,0,0,SED Summer Feeding Prog. - SED Satellite Feeding Site,Onondaga County,ONONDAGA,201 SHONNARD STREET,SYRACUSE,13204    ,330100,SYRACUSE,Boys and Girls Club of Syracuse,,,Food Bank of Central New York,,,526008,Inspection,,,NY,"(43.041471, -76.16038)"
McDonald's of Nedrow                ,"6105 SOUTH Salina STREET,  Syracuse",02/03/2016,"Item  2C-  Critical Violation [RED] Cooked or prepared foods are subject to cross-contamination from raw foods.; Item  4A-  Critical Violation [RED] Toxic chemicals are improperly labeled, stored or used so that contamination of food can occur.; Item  8B-   In use food dispensing utensils improperly stored; Item  8E-   Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures; Item  9B-   Tobacco is used; eating, drinking in food preparation, dishwashing food storage areas; Item 11A-   Manual facilities inadequate, technique incorrect; mechanical facilities not operated in accordance with manufacturer's instructions; Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",2,0,7,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,6105 SOUTH Salina STREET,Syracuse,13205    ,336100,ONONDAGA,McDonald's of Nedrow,01/31/2017,,"Big Red Shoes, LLC",Ross,Paul,292869,Inspection,,,NY,"(42.982582, -76.14285)"
